Season,Date,Tournament,HomeTeam,AwayTeam,Venue,Result,Details,ScorecardURL,VenueMapURL,HomeEmblem,AwayEmblem,YouTubeLive,YouTubeHighlights
2026,04 May 2026,Non-ODI,England XI Over 40s,England XI Over 40s,"Datchet CC, Berkshire",Upcoming,Warm-up match,https://englandseniors.play-cricket.com/match_details?id=7416572,https://maps.google.com/maps/search/Datchet+CC+Berkshire,england.png,england.png,,
2026,27 May 2026,ODI,England Over 40s,India Over 40s,"Swindon CC, Wiltshire",Upcoming,ODI Series - Match 1,https://englandseniors.play-cricket.com/match_details?id=7416573,https://maps.google.com/maps/search/Swindon+CC+Wiltshire,england.png,india.png,https://www.youtube.com/watch?v=gMT497KBtGc,
2026,28 May 2026,ODI,England Lions Over 40s,India Over 40s,"High Wycombe CC, Buckinghamshire",Upcoming,ODI Series - Match 2,https://englandseniors.play-cricket.com/match_details?id=7416716,https://maps.google.com/maps/search/High+Wycombe+CC+Buckinghamshire,england.png,india.png,https://www.youtube.com/watch?v=om33cd7boCg,
2026,04 Jun 2026,ODI,England Lions Over 40s,India Over 40s,"Hammerwich CC, Staffordshire",Upcoming,ODI Series - Match 3,https://englandseniors.play-cricket.com/match_details?id=7416719,https://maps.google.com/maps/search/Hammerwich+CC+Staffordshire,england.png,india.png,https://www.youtube.com/watch?v=wHCWNvX5CqE,
2026,15 Jul 2026,Non-ODI,XL Club,England Lions Over 40s,"TBC, North West",Upcoming,Away fixture,https://englandseniors.play-cricket.com/match_details?id=7616969,,xl_club.png,england.png,https://www.youtube.com/watch?v=yRanS9SwKFs,
2026,28 Jul 2026,Triple Crown,England Over 40s,Wales Over 40s,"Bishop's Stortford CC, Hertfordshire",Upcoming,Triple Crown - Day 1,https://englandseniors.play-cricket.com/match_details?id=7616870,https://maps.google.com/maps/search/Bishops+Stortford+CC+Hertfordshire,england.png,wales.png,https://www.youtube.com/watch?v=SRkXD_KjxpA,
2026,29 Jul 2026,Triple Crown,England Over 40s,Scotland Over 40s,"Bishop's Stortford CC, Hertfordshire",Upcoming,Triple Crown - Day 2,https://englandseniors.play-cricket.com/match_details?id=7616869,https://maps.google.com/maps/search/Bishops+Stortford+CC+Hertfordshire,england.png,scotland.png,https://www.youtube.com/watch?v=E1VH7Vn2Iho,
2026,30 Jul 2026,Triple Crown,England Over 40s,Ireland Over 40s,"Bishop's Stortford CC, Hertfordshire",Upcoming,Triple Crown - Day 3,https://englandseniors.play-cricket.com/match_details?id=7616872,https://maps.google.com/maps/search/Bishops+Stortford+CC+Hertfordshire,england.png,ireland.png,https://www.youtube.com/watch?v=-wWzAgtbITU,
2026,05 Aug 2026,ODI,Wales Over 40s,England Lions Over 40s,"Panteg CC, Wales",Upcoming,Away fixture,https://englandseniors.play-cricket.com/match_details?id=7416762,https://maps.google.com/maps/search/Panteg+CC+Wales,wales.png,england.png,https://www.youtube.com/watch?v=aJo0xNpUzIY,
2026,11 Aug 2026,Non-ODI,Worcestershire Over 40s,England Lions Over 40s,"Stourport CC, Worcestershire",Upcoming,County fixture,https://englandseniors.play-cricket.com/match_details?id=7416768,https://maps.google.com/maps/search/Stourport+CC+Worcestershire,worcestershire.png,england.png,https://www.youtube.com/watch?v=-okkcb4v_so,
